Frequency (Hz)	Level (dB)
10968.750000	-59.980179
11015.625000	-59.522453
11062.500000	-58.716206
11109.375000	-59.048985
11156.250000	-58.760021
11203.125000	-56.868149
11250.000000	-57.304958
11296.875000	-58.014896
11343.750000	-57.360558
11390.625000	-58.403557
11437.500000	-57.966003
11484.375000	-59.668644
11531.250000	-59.589981
11578.125000	-58.830692
11625.000000	-60.380005
11671.875000	-60.479805
11718.750000	-60.897457
11765.625000	-62.069469
11812.500000	-62.380775
11859.375000	-61.195427
11906.250000	-61.508274
11953.125000	-62.349289
12000.000000	-61.999298
12046.875000	-61.420948
12093.750000	-61.895016
12140.625000	-59.505253
12187.500000	-60.392746
12234.375000	-62.738152
12281.250000	-62.360661
12328.125000	-60.775681
12375.000000	-62.098122
12421.875000	-62.160309
12468.750000	-62.996204
12515.625000	-61.316311
12562.500000	-60.949043
12609.375000	-61.902935
12656.250000	-61.333015
12703.125000	-61.565651
12750.000000	-62.351189
12796.875000	-62.748978
12843.750000	-62.241035
12890.625000	-61.915707
12937.500000	-61.629196
12984.375000	-62.827724
13031.250000	-60.672470
13078.125000	-61.121109
13125.000000	-62.404846
13171.875000	-64.508614
13218.750000	-64.673576
13265.625000	-64.701469
13312.500000	-63.726562
13359.375000	-63.956711
13406.250000	-66.233482
13453.125000	-65.443642
13500.000000	-64.304642
13546.875000	-64.069244
13593.750000	-63.971397
13640.625000	-63.586376
13687.500000	-62.333279
13734.375000	-62.335648
13781.250000	-62.036659
13828.125000	-62.202942
13875.000000	-62.904541
13921.875000	-63.669102
13968.750000	-63.483864
14015.625000	-62.457352
14062.500000	-62.158604
14109.375000	-61.495636
14156.250000	-61.136909
14203.125000	-62.528221
14250.000000	-62.684525
14296.875000	-62.950790
14343.750000	-62.514488
14390.625000	-62.117390
14437.500000	-62.672794
14484.375000	-62.364059
14531.250000	-59.862785
14578.125000	-60.399849
14625.000000	-62.165466
14671.875000	-61.771915
14718.750000	-62.363117
14765.625000	-63.181992
14812.500000	-64.314346
14859.375000	-62.540543
14906.250000	-61.771355
14953.125000	-62.541809
15000.000000	-62.815887
15046.875000	-63.606827
15093.750000	-63.759785
15140.625000	-63.009533
15187.500000	-62.517422
15234.375000	-63.251053
15281.250000	-63.239475
15328.125000	-63.826794
15375.000000	-63.620537
15421.875000	-64.049500
15468.750000	-64.284157
15515.625000	-64.547951
15562.500000	-63.159096
15609.375000	-63.935768
15656.250000	-64.269051
15703.125000	-64.977066
15750.000000	-65.248650
15796.875000	-67.275040
15843.750000	-68.984009
15890.625000	-69.091064
15937.500000	-65.515030
15984.375000	-64.958321
16031.250000	-70.956223
16078.125000	-85.653557
16125.000000	-96.938133
16171.875000	-102.979141
16218.750000	-107.371521
16265.625000	-111.320641
16312.500000	-113.569016
16359.375000	-116.339134
16406.250000	-119.786011
16453.125000	-120.573364
16500.000000	-124.103401
16546.875000	-126.087242
16593.750000	-128.000763
16640.625000	-130.481735
16687.500000	-134.259064
16734.375000	-138.528870
16781.250000	-141.070541
16828.125000	-142.024155
16875.000000	-142.101013
16921.875000	-144.624374
16968.750000	-146.248154
17015.625000	-146.917313
17062.500000	-148.278809
17109.375000	-149.261368
17156.250000	-147.037430
17203.125000	-145.968689
17250.000000	-147.209351
17296.875000	-146.862244
17343.750000	-144.945694
17390.625000	-145.459076
17437.500000	-145.298889
17484.375000	-143.742889
17531.250000	-145.268539
17578.125000	-145.212372
17625.000000	-142.998016
17671.875000	-145.178741
17718.750000	-147.888519
17765.625000	-148.903152
17812.500000	-148.787262
17859.375000	-139.940735
17906.250000	-130.520432
17953.125000	-128.183517
18000.000000	-132.344193
18046.875000	-126.441238
18093.750000	-127.425964
18140.625000	-135.019409
18187.500000	-145.438324
18234.375000	-146.003143
18281.250000	-146.921143
18328.125000	-148.308212
18375.000000	-145.729736
18421.875000	-146.085648
18468.750000	-148.488281
18515.625000	-150.237930
18562.500000	-150.827148
18609.375000	-149.982086
18656.250000	-148.269211
18703.125000	-146.828506
18750.000000	-147.675003
18796.875000	-148.931396
18843.750000	-148.206223
18890.625000	-147.520493
18937.500000	-145.388733
18984.375000	-144.537643
19031.250000	-145.825668
19078.125000	-147.843933
19125.000000	-147.051712
19171.875000	-146.888535
19218.750000	-147.279572
19265.625000	-150.256439
19312.500000	-149.887665
19359.375000	-144.441254
19406.250000	-133.346817
19453.125000	-129.434219
19500.000000	-135.232895
19546.875000	-136.003738
19593.750000	-135.925140
19640.625000	-141.230682
19687.500000	-142.114929
19734.375000	-142.620377
19781.250000	-144.337280
